Program,Optimization,Problem_Size,Runtime_sec
matmul,DaCe,256,0.03963252
matmul,DaCe,256,0.02333762
matmul,DaCe,256,0.02342715
matmul,DaCe,256,0.02374079
matmul,DaCe,256,0.02260374
matmul,DaCe,256,0.02777043
matmul,DaCe,256,0.02372670
matmul,DaCe,256,0.02391665
matmul,DaCe,256,0.02359173
matmul,DaCe,256,0.02433869
matmul,DaCe,256,0.02383377
matmul,DaCe,256,0.02334230
matmul,DaCe,256,0.02337877
matmul,DaCe,256,0.02304728
matmul,DaCe,256,0.02308675
matmul,DaCe,256,0.02391205
matmul,DaCe,256,0.02333551
matmul,DaCe,256,0.02350307
matmul,DaCe,256,0.02339755
matmul,DaCe,256,0.02413777
matmul,DaCe,256,0.02488825
matmul,DaCe,256,0.02324263
matmul,DaCe,256,0.02331555
matmul,DaCe,256,0.02362965
matmul,DaCe,256,0.02358240
matmul,DaCe,256,0.02340464
matmul,DaCe,256,0.02345180
matmul,DaCe,256,0.02312021
matmul,DaCe,256,0.02344206
matmul,DaCe,256,0.02389127
matmul,DaCe,256,0.02758860
matmul,DaCe,256,0.02283036
matmul,DaCe,256,0.02293803
matmul,DaCe,256,0.02305985
matmul,DaCe,256,0.02299651
matmul,DaCe,256,0.02491081
matmul,DaCe,256,0.02382599
matmul,DaCe,256,0.02350583
matmul,DaCe,256,0.02314629
matmul,DaCe,256,0.02311359
matmul,DaCe,256,0.02420999
matmul,DaCe,256,0.02298226
matmul,DaCe,256,0.02371031
matmul,DaCe,256,0.02361923
matmul,DaCe,256,0.02365767
matmul,DaCe,256,0.02546867
matmul,DaCe,256,0.02448017
matmul,DaCe,256,0.02293855
matmul,DaCe,256,0.02296274
matmul,DaCe,256,0.02364619
matmul,DaCe,256,0.02526157
matmul,DaCe,256,0.02606627
matmul,DaCe,256,0.02341076
matmul,DaCe,256,0.02286475
matmul,DaCe,256,0.02291393
matmul,DaCe,256,0.02475690
matmul,DaCe,256,0.02378838
matmul,DaCe,256,0.02421456
matmul,DaCe,256,0.02350894
matmul,DaCe,256,0.02385120
matmul,DaCe,256,0.03967890
matmul,DaCe,256,0.04654416
matmul,DaCe,256,0.02409232
matmul,DaCe,256,0.02784918
matmul,DaCe,256,0.02374172
matmul,DaCe,256,0.02471436
matmul,DaCe,256,0.02384015
matmul,DaCe,256,0.02393205
matmul,DaCe,256,0.02423163
matmul,DaCe,256,0.02393206
matmul,DaCe,256,0.02471807
matmul,DaCe,256,0.02331768
matmul,DaCe,256,0.02336616
matmul,DaCe,256,0.02356959
matmul,DaCe,256,0.02377649
matmul,DaCe,256,0.02529392
matmul,DaCe,256,0.02738121
matmul,DaCe,256,0.03277212
matmul,DaCe,256,0.02886761
matmul,DaCe,256,0.02316122
matmul,DaCe,256,0.02444709
matmul,DaCe,256,0.02410070
matmul,DaCe,256,0.03435771
matmul,DaCe,256,0.02389315
matmul,DaCe,256,0.02421122
matmul,DaCe,256,0.02408585
matmul,DaCe,256,0.03387984
matmul,DaCe,256,0.02415816
matmul,DaCe,256,0.02521762
matmul,DaCe,256,0.02425929
matmul,DaCe,256,0.02403132
matmul,DaCe,256,0.03774083
matmul,DaCe,256,0.03210854
matmul,DaCe,256,0.02449385
matmul,DaCe,256,0.02379343
matmul,DaCe,256,0.02368931
matmul,DaCe,256,0.02505935
matmul,DaCe,256,0.02232024
matmul,DaCe,256,0.02341179
matmul,DaCe,256,0.02326710
