==5877== NVPROF is profiling process 5877, command: /home/jacobsi/anaconda3/bin/python3 cublas.py -M 4096 -N 4096 -K 4096 --precision 32
==5877== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==5877== Profiling application: /home/jacobsi/anaconda3/bin/python3 cublas.py -M 4096 -N 4096 -K 4096 --precision 32
==5877== Profiling result:
==5877== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-PCIE-32GB (0)","volta_sgemm_128x64_nn",1,"shared_store_transactions","Shared Store Transactions",51392363,51392363,51392363
"Tesla V100-PCIE-32GB (0)","volta_sgemm_128x64_nn",1,"shared_load_transactions","Shared Load Transactions",269483581,269483581,269483581
"Tesla V100-PCIE-32GB (0)","volta_sgemm_128x64_nn",1,"gld_transactions","Global Load Transactions",198635832,198635832,198635832
"Tesla V100-PCIE-32GB (0)","volta_sgemm_128x64_nn",1,"gst_transactions","Global Store Transactions",2097152,2097152,2097152
"Tesla V100-PCIE-32GB (0)","volta_sgemm_128x64_nn",1,"l2_read_transactions","L2 Read Transactions",199119544,199119544,199119544
"Tesla V100-PCIE-32GB (0)","volta_sgemm_128x64_nn",1,"l2_write_transactions","L2 Write Transactions",2097185,2097185,2097185
"Tesla V100-PCIE-32GB (0)","volta_sgemm_128x64_nn",1,"dram_read_transactions","Device Memory Read Transactions",39955322,39955322,39955322
"Tesla V100-PCIE-32GB (0)","volta_sgemm_128x64_nn",1,"dram_write_transactions","Device Memory Write Transactions",2131545,2131545,2131545
"Tesla V100-PCIE-32GB (0)","volta_sgemm_128x64_nn",1,"global_hit_rate","Global Hit Rate in unified l1/tex",0.780446%,0.780446%,0.780446%
"Tesla V100-PCIE-32GB (0)","volta_sgemm_128x64_nn",1,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"Tesla V100-PCIE-32GB (0)","volta_sgemm_128x64_nn",1,"local_memory_overhead","Local Memory Overhead",1.799046%,1.799046%,1.799046%
"Tesla V100-PCIE-32GB (0)","volta_sgemm_128x64_nn",1,"shared_efficiency","Shared Memory Efficiency",47.391554%,47.391554%,47.391554%
"Tesla V100-PCIE-32GB (0)","volta_sgemm_128x64_nn",1,"shared_utilization","Shared Memory Utilization","Low (3)","Low (3)","Low (3)"
"Tesla V100-PCIE-32GB (0)","volta_sgemm_128x64_nn",1,"ldst_issued","Issued Load/Store Instructions",240910336,240910336,240910336
"Tesla V100-PCIE-32GB (0)","volta_sgemm_128x64_nn",1,"ldst_executed","Executed Load/Store Instructions",240910336,240910336,240910336
"Tesla V100-PCIE-32GB (0)","volta_sgemm_128x64_nn",1,"sm_efficiency","Multiprocessor Activity",91.661468%,91.661468%,91.661468%
"Tesla V100-PCIE-32GB (0)","volta_sgemm_128x64_nn",1,"achieved_occupancy","Achieved Occupancy",0.246010,0.246010,0.246010
"Tesla V100-PCIE-32GB (0)","volta_sgemm_128x64_nn",1,"l2_utilization","L2 Cache Utilization","Low (2)","Low (2)","Low (2)"
