"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",100,"shared_store_transactions","Shared Store Transactions",151508074,151531738,151522308
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",100,"shared_load_transactions","Shared Load Transactions",269545565,269560352,269552683
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",100,"gld_transactions","Global Load Transactions",133270658,133343914,133312893
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",100,"gst_transactions","Global Store Transactions",2097152,2097152,2097152
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",100,"l2_global_atomic_store_bytes","Bytes written to L2 from L1 for global atomics",0,0,0
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",100,"l2_global_load_bytes","Bytes read from L2 for misses in L1 for global loads",4180778240,4253463456,4220275915
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",100,"l2_read_transactions","L2 Read Transactions",131590855,133997860,132857553
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",100,"l2_write_transactions","L2 Write Transactions",2097172,2121085,2098551
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",100,"dram_read_bytes","Total bytes read from DRAM to L2 cache",577925440,1377138112,1072904964
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",100,"dram_read_transactions","Device Memory Read Transactions",18060170,43035566,33528280
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",100,"dram_write_transactions","Device Memory Write Transactions",1998949,2139417,2078304
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",100,"local_memory_overhead","Local Memory Overhead",0.000000%,2.238827%,0.672367%
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",100,"shared_efficiency","Shared Memory Efficiency",31.874114%,31.876101%,31.875018%
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",100,"shared_utilization","Shared Memory Utilization","Mid (4)","Mid (4)","Mid (4)"
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",100,"l2_utilization","L2 Cache Utilization","Low (1)","Low (1)","Low (1)"
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",100,"ldst_issued","Issued Load/Store Instructions",226631680,226631680,226631680
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",100,"ldst_executed","Executed Load/Store Instructions",226631680,226631680,226631680
"Tesla V100-PCIE-32GB (0)","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",100,"sm_efficiency","Multiprocessor Activity",91.911387%,98.250566%,97.209659%
